CZ_NAME_STR;BEGIN_DATE;TEMP_MIN;RAIN_SUM;WINDSPEED
WALTON CO.;01/22/2023;11.4;34.3;23.1
WAKULLA CO.;01/22/2023;11.6;28.7;24.8
WALTON CO.;01/25/2023;9.6;23.5;26.6
LIBERTY CO.;01/25/2023;12.3;31.2;23.1
LEON CO.;01/25/2023;12.8;20.2;24.6
WALTON CO.;02/09/2023;16.2;2.0;17.1
WALTON CO.;03/17/2023;13.1;9.5;29.0
BAY CO.;03/17/2023;17.3;9.2;29.4
BROWARD CO.;04/12/2023;21.0;27.6;33.8
BREVARD CO.;04/16/2023;21.4;9.3;13.9
PALM BEACH CO.;04/21/2023;21.1;1.8;11.1
BROWARD CO.;04/21/2023;20.8;2.8;12.3
CALHOUN CO.;04/27/2023;18.3;18.5;18.5
BAY CO.;04/27/2023;18.8;31.5;26.8
LIBERTY CO.;04/27/2023;18.8;10.1;18.0
WAKULLA CO.;04/27/2023;19.4;6.3;20.8
GADSDEN CO.;04/27/2023;18.5;7.6;18.8
MADISON CO.;04/27/2023;18.2;14.3;21.0
PALM BEACH CO.;04/28/2023;22.4;13.7;14.8
PALM BEACH CO.;04/29/2023;22.7;4.8;19.7
CHARLOTTE CO.;04/30/2023;23.0;10.4;33.9
MIAMI-DADE CO.;05/25/2023;21.9;14.8;18.4
BREVARD CO.;06/07/2023;22.7;22.7;10.0
FRANKLIN CO.;06/09/2023;24.4;4.5;12.7
ESCAMBIA CO.;06/15/2023;24.6;6.0;25.3
TAYLOR CO.;06/16/2023;22.6;3.0;27.1
JEFFERSON CO.;06/16/2023;20.6;16.7;18.8
LEE CO.;06/18/2023;24.7;14.7;24.0
WALTON CO.;06/19/2023;23.8;16.4;21.4
